"name","year","quarter","count"
"Dart","2013","4","582"
"Haxe","2013","4","493"
"XSLT","2013","4","472"
"Vala","2013","4","429"
"D","2013","4","402"
"DM","2013","4","393"
"PowerShell","2013","4","365"
"TeX","2013","4","351"
"Jupyter Notebook","2013","4","317"
"Matlab","2013","4","315"
"Game Maker Language","2013","4","309"
"Brightscript","2013","4","281"
"Objective-J","2013","4","278"
"Makefile","2013","4","262"
"Rust","2013","4","256"
"R","2013","4","252"
"Swift","2013","4","250"
"LiveScript","2013","4","198"
"Ceylon","2013","4","182"
"FORTRAN","2013","4","181"
"Common Lisp","2013","4","170"
"Elixir","2013","4","163"
"GCC Machine Description","2013","4","144"
"Kotlin","2013","4","143"
"Red","2013","4","142"
"Objective-C++","2013","4","137"
"PLpgSQL","2013","4","137"
"Web Ontology Language","2013","4","126"
"Eagle","2013","4","113"
"Max","2013","4","112"
"Scheme","2013","4","110"
"Groff","2013","4","109"
"Eiffel","2013","4","107"
"Assembly","2013","4","104"
"ColdFusion","2013","4","104"
"Racket","2013","4","103"
"Tcl","2013","4","103"
"PostScript","2013","4","102"
"JavaScript","2014","1","131583"
"Python","2014","1","76809"
"Java","2014","1","65642"
"PHP","2014","1","58635"
"Ruby","2014","1","44436"
"C++","2014","1","32892"
"C","2014","1","21626"
"C#","2014","1","15210"
"HTML","2014","1","14334"
"Objective-C","2014","1","13539"
"CSS","2014","1","12367"
"CoffeeScript","2014","1","9007"
"Go","2014","1","7761"
"Shell","2014","1","6090"
"Scala","2014","1","5147"
"Haskell","2014","1","3684"
"TypeScript","2014","1","3088"
"Clojure","2014","1","2262"
"Lua","2014","1","2211"
"Perl","2014","1","2036"
"Emacs Lisp","2014","1","2022"
"Groovy","2014","1","1548"
"VimL","2014","1","1438"
"Julia","2014","1","1364"
"OCaml","2014","1","1181"
"Dart","2014","1","1107"
"Erlang","2014","1","1091"
"Haxe","2014","1","919"
"TeX","2014","1","864"
"F#","2014","1","776"
"XSLT","2014","1","748"
"DM","2014","1","687"
"Puppet","2014","1","675"
"Jupyter Notebook","2014","1","610"
"D","2014","1","598"
"Apex","2014","1","529"
"Vala","2014","1","526"
"PowerShell","2014","1","428"
"R","2014","1","428"
"Swift","2014","1","421"
"ActionScript","2014","1","412"
"Matlab","2014","1","407"
"Makefile","2014","1","405"
"Rust","2014","1","404"
"PLpgSQL","2014","1","356"
"Elixir","2014","1","323"
"Common Lisp","2014","1","260"
"Kotlin","2014","1","224"
"Assembly","2014","1","211"
"Arduino","2014","1","205"
"Ragel in Ruby Host","2014","1","202"
"Brightscript","2014","1","195"
"LiveScript","2014","1","195"
"Objective-J","2014","1","187"
"Groff","2014","1","171"
"QML","2014","1","165"
"Red","2014","1","162"
"Scheme","2014","1","161"
"Eagle","2014","1","158"
"Web Ontology Language","2014","1","155"
"SQLPL","2014","1","154"
"Standard ML","2014","1","149"
"FORTRAN","2014","1","140"
"ApacheConf","2014","1","138"
"Visual Basic","2014","1","130"
"Game Maker Language","2014","1","122"
"Max","2014","1","121"
"CMake","2014","1","112"
"ColdFusion","2014","1","109"
"Processing","2014","1","106"
"JavaScript","2014","2","144307"
"Python","2014","2","84022"
"Java","2014","2","76026"
"PHP","2014","2","54973"
"Ruby","2014","2","47991"
"C++","2014","2","36793"
"C","2014","2","23114"
"C#","2014","2","17892"
"HTML","2014","2","17278"
"Objective-C","2014","2","14792"
"Haskell","2014","2","12689"
"CSS","2014","2","11976"
"Go","2014","2","11245"
"CoffeeScript","2014","2","10898"
"Shell","2014","2","10083"
"Scala","2014","2","5649"
"TypeScript","2014","2","3981"
"Lua","2014","2","2453"
"Perl","2014","2","2128"
"Clojure","2014","2","1892"
"Rust","2014","2","1794"
"Emacs Lisp","2014","2","1769"
"Groovy","2014","2","1611"
"Julia","2014","2","1449"
"VimL","2014","2","1334"
"Erlang","2014","2","1323"
"Dart","2014","2","1224"
"Swift","2014","2","994"
"TeX","2014","2","935"
"F#","2014","2","902"
"OCaml","2014","2","885"
"Haxe","2014","2","789"
"Matlab","2014","2","706"
"Makefile","2014","2","695"
"R","2014","2","690"
"DM","2014","2","641"
"Jupyter Notebook","2014","2","591"
"ActionScript","2014","2","570"
"D","2014","2","549"
"Puppet","2014","2","473"
"XSLT","2014","2","446"
"PowerShell","2014","2","422"
"Apex","2014","2","387"
"Objective-J","2014","2","373"
"Ragel in Ruby Host","2014","2","370"
"Vala","2014","2","361"
"Assembly","2014","2","339"
"PLpgSQL","2014","2","332"
"Common Lisp","2014","2","316"
"Standard ML","2014","2","306"
"Elixir","2014","2","296"
"FORTRAN","2014","2","286"
"LiveScript","2014","2","280"
"SQLPL","2014","2","253"
"Visual Basic","2014","2","242"
"Web Ontology Language","2014","2","237"
"Kotlin","2014","2","231"
"Eagle","2014","2","224"
"Arduino","2014","2","193"
"QML","2014","2","185"
"ASP","2014","2","180"
"Objective-C++","2014","2","158"
"Smalltalk","2014","2","152"
"Prolog","2014","2","149"
"Game Maker Language","2014","2","142"
"SourcePawn","2014","2","139"
"Red","2014","2","127"
"1C Enterprise","2014","2","124"
"Ceylon","2014","2","121"
"SQF","2014","2","115"
"CMake","2014","2","105"
"Gettext Catalog","2014","2","104"
"Cucumber","2014","2","102"
"JavaScript","2014","3","165308"
"Python","2014","3","87966"
"Java","2014","3","72255"
"PHP","2014","3","62879"
"Ruby","2014","3","48261"
"C++","2014","3","38321"
"C#","2014","3","24759"
"C","2014","3","23211"
"HTML","2014","3","21773"
"Objective-C","2014","3","15714"
"Go","2014","3","13684"
"CSS","2014","3","12899"
"CoffeeScript","2014","3","12452"
"Shell","2014","3","9402"
"Scala","2014","3","7671"
"Haskell","2014","3","5556"
"TypeScript","2014","3","5041"
"Lua","2014","3","2900"
"Rust","2014","3","2778"
"Clojure","2014","3","2421"
"Perl","2014","3","2244"
"Swift","2014","3","1978"
"Groovy","2014","3","1970"
"Emacs Lisp","2014","3","1923"
"Julia","2014","3","1896"
"VimL","2014","3","1403"
"Dart","2014","3","1328"
"Erlang","2014","3","1310"
"Makefile","2014","3","1164"
"OCaml","2014","3","1100"
"F#","2014","3","1000"
"R","2014","3","836"
"Jupyter Notebook","2014","3","814"
"Matlab","2014","3","740"
"Elixir","2014","3","733"
"DM","2014","3","724"
"ActionScript","2014","3","700"
"PLpgSQL","2014","3","618"
"Haxe","2014","3","612"
"D","2014","3","598"
"TeX","2014","3","581"
"Apex","2014","3","547"
"PowerShell","2014","3","540"
"XSLT","2014","3","524"
"Assembly","2014","3","480"
"Puppet","2014","3","446"
"Objective-J","2014","3","434"
"Vala","2014","3","413"
"Kotlin","2014","3","399"
"Common Lisp","2014","3","317"
"FORTRAN","2014","3","290"
"SQF","2014","3","221"
"Visual Basic","2014","3","215"
"Smalltalk","2014","3","188"
"PostScript","2014","3","185"
"Eagle","2014","3","182"
"Arduino","2014","3","181"
"LiveScript","2014","3","180"
"1C Enterprise","2014","3","177"
"SourcePawn","2014","3","174"
"Inno Setup","2014","3","163"
"QML","2014","3","162"
"Groff","2014","3","161"
"PureScript","2014","3","159"
"Ceylon","2014","3","156"
"SQLPL","2014","3","154"
"Web Ontology Language","2014","3","154"
"Standard ML","2014","3","150"
"ApacheConf","2014","3","148"
"Pascal","2014","3","141"
"Cucumber","2014","3","125"
"Cuda","2014","3","123"
"Scheme","2014","3","122"
"Game Maker Language","2014","3","119"
"CMake","2014","3","118"
"Perl6","2014","3","115"
"ooc","2014","3","106"
"KiCad","2014","3","100"
"JavaScript","2014","4","185964"
"Python","2014","4","87736"
"Java","2014","4","79521"
"PHP","2014","4","68465"
"C++","2014","4","59957"
"Ruby","2014","4","52122"
"C","2014","4","44051"
"C#","2014","4","22868"
"HTML","2014","4","20194"
"Go","2014","4","16444"
"Objective-C","2014","4","15207"
"CSS","2014","4","15037"
"CoffeeScript","2014","4","12540"
"Shell","2014","4","10687"
"Scala","2014","4","7676"
"TypeScript","2014","4","5562"
"Haskell","2014","4","4955"
"Lua","2014","4","4615"
"Rust","2014","4","3928"
"Clojure","2014","4","3630"
"Swift","2014","4","3460"
"Groovy","2014","4","2857"
"Perl","2014","4","2723"
"Emacs Lisp","2014","4","2219"
"Julia","2014","4","1632"
"F#","2014","4","1573"
"Makefile","2014","4","1569"
"OCaml","2014","4","1517"
"Erlang","2014","4","1460"
"VimL","2014","4","1421"
"DM","2014","4","1358"
"Kotlin","2014","4","1245"
"Jupyter Notebook","2014","4","1223"
"Dart","2014","4","1149"
"Haxe","2014","4","1052"
"Matlab","2014","4","1005"
"R","2014","4","903"
"TeX","2014","4","781"
"XSLT","2014","4","735"
"Puppet","2014","4","661"
"Visual Basic","2014","4","618"
"ActionScript","2014","4","586"
"PowerShell","2014","4","564"
"Elixir","2014","4","477"
"Apex","2014","4","424"
"Vala","2014","4","422"
"PLpgSQL","2014","4","421"
"Common Lisp","2014","4","411"
"D","2014","4","390"
"QML","2014","4","347"
"Eagle","2014","4","279"
"FORTRAN","2014","4","275"
"Objective-J","2014","4","254"
"SQF","2014","4","254"
"Cucumber","2014","4","252"
"LabVIEW","2014","4","229"
"PureScript","2014","4","226"
"Pascal","2014","4","212"
"Smalltalk","2014","4","211"
"SourcePawn","2014","4","193"
"Assembly","2014","4","187"
"SQLPL","2014","4","185"
"Groff","2014","4","179"
"ApacheConf","2014","4","173"
"Web Ontology Language","2014","4","161"
"Factor","2014","4","156"
"LiveScript","2014","4","153"
"CMake","2014","4","138"
