"name","year","quarter","count"
"Web Ontology Language","2013","1","791"
"PLpgSQL","2013","1","757"
"nesC","2013","1","734"
"BitBake","2013","1","711"
"PowerShell","2013","1","647"
"Smalltalk","2013","1","589"
"Pascal","2013","1","570"
"FORTRAN","2013","1","569"
"Standard ML","2013","1","551"
"Groff","2013","1","424"
"Arduino","2013","1","404"
"Visual Basic","2013","1","401"
"CMake","2013","1","396"
"Tcl","2013","1","375"
"Kotlin","2013","1","353"
"BlitzBasic","2013","1","331"
"Logtalk","2013","1","319"
"Objective-C++","2013","1","275"
"Game Maker Language","2013","1","275"
"ColdFusion","2013","1","254"
"LiveScript","2013","1","250"
"QML","2013","1","236"
"Swift","2013","1","231"
"Eagle","2013","1","227"
"VHDL","2013","1","216"
"Ada","2013","1","212"
"AGS Script","2013","1","202"
"Mercury","2013","1","201"
"Racket","2013","1","193"
"Prolog","2013","1","191"
"SQF","2013","1","188"
"Logos","2013","1","188"
"SourcePawn","2013","1","177"
"AutoIt","2013","1","163"
"Pony","2013","1","161"
"AppleScript","2013","1","159"
"Monkey","2013","1","155"
"Verilog","2013","1","154"
"Cucumber","2013","1","146"
"KiCad","2013","1","141"
"Delphi","2013","1","138"
"AutoHotkey","2013","1","128"
"Processing","2013","1","125"
"Agda","2013","1","122"
"UnrealScript","2013","1","117"
"ApacheConf","2013","1","116"
"PostScript","2013","1","114"
"Ceylon","2013","1","113"
"DM","2013","1","113"
"Coq","2013","1","113"
"Cuda","2013","1","105"
"JavaScript","2013","2","228966"
"Python","2013","2","199214"
"Ruby","2013","2","153835"
"Java","2013","2","153242"
"PHP","2013","2","143891"
"C","2013","2","106863"
"C++","2013","2","94914"
"C#","2013","2","29846"
"CSS","2013","2","27859"
"Shell","2013","2","26832"
"HTML","2013","2","25565"
"Objective-C","2013","2","23100"
"Go","2013","2","17374"
"Haskell","2013","2","15008"
"Perl","2013","2","14787"
"CoffeeScript","2013","2","13755"
"Scala","2013","2","13227"
"VimL","2013","2","5673"
"Erlang","2013","2","5264"
"Lua","2013","2","4928"
"Clojure","2013","2","4767"
"Emacs Lisp","2013","2","4763"
"OCaml","2013","2","4407"
"Groovy","2013","2","4002"
"Matlab","2013","2","2878"
"TypeScript","2013","2","2747"
"Puppet","2013","2","2361"
"Common Lisp","2013","2","2330"
"TeX","2013","2","2017"
"Dart","2013","2","1888"
"R","2013","2","1617"
"XSLT","2013","2","1512"
"Rust","2013","2","1363"
"F#","2013","2","1164"
"Jupyter Notebook","2013","2","1164"
"Makefile","2013","2","1100"
"Perl6","2013","2","1095"
"Julia","2013","2","1093"
"ActionScript","2013","2","979"
"FORTRAN","2013","2","929"
"Haxe","2013","2","929"
"Scheme","2013","2","928"
"nesC","2013","2","911"
"Smalltalk","2013","2","882"
"Vala","2013","2","868"
"Factor","2013","2","853"
"Web Ontology Language","2013","2","850"
"Assembly","2013","2","841"
"BitBake","2013","2","806"
"PowerShell","2013","2","754"
"PLpgSQL","2013","2","664"
"Pascal","2013","2","662"
"Arduino","2013","2","617"
"DM","2013","2","601"
"D","2013","2","570"
"Swift","2013","2","558"
"Ada","2013","2","555"
"BlitzBasic","2013","2","485"
"ColdFusion","2013","2","474"
"Tcl","2013","2","459"
"Eagle","2013","2","422"
"Kotlin","2013","2","383"
"CMake","2013","2","336"
"Visual Basic","2013","2","326"
"Standard ML","2013","2","325"
"Yacc","2013","2","303"
"Elixir","2013","2","297"
"Objective-J","2013","2","272"
"Racket","2013","2","271"
"Processing","2013","2","259"
"LiveScript","2013","2","258"
"Logos","2013","2","245"
"AutoHotkey","2013","2","228"
"Verilog","2013","2","223"
"Prolog","2013","2","218"
"Cucumber","2013","2","218"
"Mercury","2013","2","214"
"Logtalk","2013","2","205"
"OpenEdge ABL","2013","2","199"
"Pony","2013","2","184"
"Game Maker Language","2013","2","171"
"Groff","2013","2","159"
"SourcePawn","2013","2","159"
"IDL","2013","2","156"
"UnrealScript","2013","2","151"
"Xtend","2013","2","150"
"Objective-C++","2013","2","146"
"Agda","2013","2","142"
"VHDL","2013","2","124"
"OpenSCAD","2013","2","124"
"Smarty","2013","2","119"
"Coq","2013","2","111"
"ApacheConf","2013","2","111"
"JavaScript","2013","3","321142"
"Python","2013","3","259494"
"Java","2013","3","201277"
"PHP","2013","3","186918"
"Ruby","2013","3","176843"
"C++","2013","3","121443"
"C","2013","3","121178"
"HTML","2013","3","115973"
"CSS","2013","3","62986"
"C#","2013","3","44486"
"Shell","2013","3","38905"
"Objective-C","2013","3","33583"
"Go","2013","3","25870"
"Haskell","2013","3","19006"
"CoffeeScript","2013","3","18269"
"Perl","2013","3","18132"
"Scala","2013","3","16777"
"VimL","2013","3","9116"
"Lua","2013","3","6848"
"Clojure","2013","3","6640"
"Emacs Lisp","2013","3","6149"
"Erlang","2013","3","5697"
"OCaml","2013","3","5207"
"Groovy","2013","3","5118"
"TypeScript","2013","3","4231"
"Puppet","2013","3","3981"
"R","2013","3","3758"
"XSLT","2013","3","3450"
"TeX","2013","3","3266"
"Matlab","2013","3","3082"
"Rust","2013","3","2718"
"Dart","2013","3","2626"
"Common Lisp","2013","3","2259"
"Vala","2013","3","2214"
"ActionScript","2013","3","2042"
"Makefile","2013","3","1965"
"Arduino","2013","3","1946"
"Haxe","2013","3","1777"
"Scheme","2013","3","1536"
"Perl6","2013","3","1534"
"Julia","2013","3","1530"
"PowerShell","2013","3","1458"
"F#","2013","3","1451"
"Jupyter Notebook","2013","3","1311"
"Elixir","2013","3","1275"
"D","2013","3","1221"
"Web Ontology Language","2013","3","1124"
"Pascal","2013","3","1096"
"FORTRAN","2013","3","1008"
"Visual Basic","2013","3","988"
"Assembly","2013","3","940"
"BitBake","2013","3","924"
"Smalltalk","2013","3","802"
"Racket","2013","3","724"
"PLpgSQL","2013","3","691"
"Eagle","2013","3","689"
"DM","2013","3","681"
"ColdFusion","2013","3","647"
"Kotlin","2013","3","594"
"AutoHotkey","2013","3","575"
"Processing","2013","3","541"
"Groff","2013","3","498"
"Game Maker Language","2013","3","449"
"nesC","2013","3","422"
"BlitzBasic","2013","3","421"
"Objective-C++","2013","3","414"
"Prolog","2013","3","412"
"Tcl","2013","3","402"
"GCC Machine Description","2013","3","400"
"Max","2013","3","378"
"GAP","2013","3","362"
"Swift","2013","3","340"
"SourcePawn","2013","3","338"
"Eiffel","2013","3","338"
"Logos","2013","3","335"
"Verilog","2013","3","331"
"Cucumber","2013","3","302"
"Factor","2013","3","296"
"LiveScript","2013","3","294"
"ApacheConf","2013","3","284"
"Apex","2013","3","280"
"CMake","2013","3","279"
"API Blueprint","2013","3","269"
"ASP","2013","3","252"
"UnrealScript","2013","3","229"
"Batchfile","2013","3","222"
"Ada","2013","3","211"
"SQF","2013","3","208"
"Xtend","2013","3","206"
"OpenSCAD","2013","3","195"
"PLSQL","2013","3","193"
"Standard ML","2013","3","190"
"Forth","2013","3","177"
"XML","2013","3","174"
"Red","2013","3","172"
"Objective-J","2013","3","172"
"Mathematica","2013","3","168"
"Logtalk","2013","3","164"
"Mako","2013","3","159"
"Brightscript","2013","3","156"
"VHDL","2013","3","148"
"Delphi","2013","3","147"
"QML","2013","3","140"
"PostScript","2013","3","139"
"NSIS","2013","3","133"
"Rebol","2013","3","117"
"Dylan","2013","3","107"
"OpenEdge ABL","2013","3","106"
"KiCad","2013","3","106"
"Lex","2013","3","105"
"Nimrod","2013","3","104"
"Agda","2013","3","103"
"Cuda","2013","3","102"
"Smarty","2013","3","100"
"JavaScript","2013","4","415350"
"Python","2013","4","310236"
"Java","2013","4","270448"
"PHP","2013","4","223894"
"Ruby","2013","4","195933"
"C++","2013","4","163086"
"C","2013","4","143550"
"HTML","2013","4","122940"
"CSS","2013","4","89475"
"C#","2013","4","57884"
"Shell","2013","4","56172"
"Objective-C","2013","4","44497"
"Go","2013","4","33213"
"CoffeeScript","2013","4","25540"
"Haskell","2013","4","19789"
"Scala","2013","4","19511"
"Perl","2013","4","17669"
"Clojure","2013","4","10723"
"VimL","2013","4","10137"
"Lua","2013","4","9979"
"TeX","2013","4","8218"
"Groovy","2013","4","7740"
"Erlang","2013","4","7190"
"Emacs Lisp","2013","4","6968"
"OCaml","2013","4","6458"
"R","2013","4","5750"
"Puppet","2013","4","5131"
"TypeScript","2013","4","4859"
"Matlab","2013","4","4648"
"Rust","2013","4","4133"
"Dart","2013","4","3943"
"XSLT","2013","4","3594"
"Common Lisp","2013","4","2938"
"Makefile","2013","4","2875"
"Vala","2013","4","2773"
"ActionScript","2013","4","2559"
"Julia","2013","4","2558"
"F#","2013","4","2482"
"Arduino","2013","4","2282"
"Jupyter Notebook","2013","4","2255"
"Haxe","2013","4","1982"
"PowerShell","2013","4","1881"
"D","2013","4","1778"
"Assembly","2013","4","1714"
"Perl6","2013","4","1597"
"Pascal","2013","4","1432"
"Scheme","2013","4","1430"
"GCC Machine Description","2013","4","1415"
"FORTRAN","2013","4","1200"
"Factor","2013","4","1189"
"Elixir","2013","4","1157"
"Logos","2013","4","1138"
"Swift","2013","4","1071"
"Racket","2013","4","1059"
"BitBake","2013","4","1032"
"CMake","2013","4","993"
"Processing","2013","4","932"
"Eagle","2013","4","907"
"Web Ontology Language","2013","4","905"
"ColdFusion","2013","4","903"
"Visual Basic","2013","4","876"
"DM","2013","4","843"
"Tcl","2013","4","817"
"BlitzBasic","2013","4","781"
"Mathematica","2013","4","755"
"PLpgSQL","2013","4","745"
"AutoHotkey","2013","4","709"
"Game Maker Language","2013","4","679"
"Prolog","2013","4","645"
"Standard ML","2013","4","631"
"LiveScript","2013","4","587"
"Groff","2013","4","584"
"ASP","2013","4","563"
"Smalltalk","2013","4","561"
"Kotlin","2013","4","524"
"Brightscript","2013","4","520"
"nesC","2013","4","518"
"ApacheConf","2013","4","512"
"Max","2013","4","495"
"QML","2013","4","440"
"Smarty","2013","4","438"
"Elm","2013","4","424"
"VHDL","2013","4","384"
"Coq","2013","4","371"
"KiCad","2013","4","371"
"Verilog","2013","4","370"
"Cucumber","2013","4","369"
"Objective-C++","2013","4","359"
"Agda","2013","4","339"
"PostScript","2013","4","303"
"Nix","2013","4","302"
"Objective-J","2013","4","293"
"Xtend","2013","4","286"
"Eiffel","2013","4","280"
"SourcePawn","2013","4","257"
"Ceylon","2013","4","251"
"Logtalk","2013","4","237"
"Batchfile","2013","4","227"
"SQF","2013","4","222"
"OpenEdge ABL","2013","4","211"
"Red","2013","4","211"
"AppleScript","2013","4","206"
"Ada","2013","4","200"
"Cuda","2013","4","189"
"API Blueprint","2013","4","183"
"PLSQL","2013","4","179"
"AGS Script","2013","4","176"
"SQL","2013","4","170"
"Forth","2013","4","166"
"GAP","2013","4","164"
"IDL","2013","4","156"
"OpenSCAD","2013","4","153"
"Nimrod","2013","4","150"
"Rebol","2013","4","132"
"Augeas","2013","4","131"
"Mask","2013","4","130"
"Squirrel","2013","4","128"
"Scilab","2013","4","124"
"M","2013","4","124"
"Apex","2013","4","124"
"NSIS","2013","4","123"
"DOT","2013","4","123"
"Awk","2013","4","118"
"SuperCollider","2013","4","115"
"SMT","2013","4","115"
"Modula-2","2013","4","114"
"GLSL","2013","4","109"
"Idris","2013","4","107"
"XQuery","2013","4","104"
"JavaScript","2014","1","553554"
"Python","2014","1","388940"
"Java","2014","1","335722"
"PHP","2014","1","276611"
"Ruby","2014","1","225643"
"C++","2014","1","205108"
"C","2014","1","177040"
"CSS","2014","1","120844"
"HTML","2014","1","91155"
"Shell","2014","1","73554"
"C#","2014","1","71173"
"Objective-C","2014","1","55731"
"Go","2014","1","45750"
"CoffeeScript","2014","1","31191"
"Haskell","2014","1","25629"
"Scala","2014","1","25384"
"Perl","2014","1","22246"
